PRIM2_COMMON,PRIM1_COMMON,STRAT_ID,PSU_ID,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,MONTH,KOD,MODE_ASG,NEW_LIST,PRT_CODE,CELLTYPE,FSHINSP_A,NUM_FISH_A,FL_REG,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,DATE,TURTLE,TOURN,AGE,WP_INT,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,DATE_PUBLISHED
,,19921.16128301we,10629199201049985,0,1,1,,2,1,99,99,Y,5,6,1,4.5,1062919920104001,85,1,3,1,0,0,0,,3,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104001,2,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104001,33437,03/03/2025
,,19921.16128301we,10629199201049985,0,1,1,,2,1,99,99,Y,5,6,2,4.5,1062919920104002,85,1,3,1,0,0,1,,3,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104002,2,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104002,33437,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,99,Y,5,6,2,4.5,1062919920104003,85,1,3,0,0,0,1,,3,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104003,,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104003,33437,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,99,O,1,40,1,3,1062919920104004,85,1,3,0,0,0,0,,2,0,12,26,6,1,1,1992,1062919920104,01,we,,,1062919920104004,,,,8,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.16128301we,,0,1062919920104004,48313,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,99,O,0,0,2,3,1062919920104005,85,1,3,0,0,0,1,,2,0,12,26,6,1,1,1992,1062919920104,01,we,,,1062919920104005,,,,8,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.16128301we,,0,1062919920104005,48313,03/03/2025
,,19921.16128301we,10629199201049985,0,1,1,,2,1,99,51,O,2,12,1,5.5,1062919920104006,85,1,3,1,0,0,0,,2,7,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104006,2,,,8,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.16128301we,,0,1062919920104006,33440,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,51,O,2,10,2,5.5,1062919920104007,85,1,3,0,0,0,1,,2,7,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104007,,,,8,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.16128301we,,0,1062919920104007,33440,03/03/2025
,,19921.16128301we,10629199201049985,0,1,1,,2,1,99,99,Y,2,4,1,4,1062919920104008,85,1,3,2,0,0,0,,4,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104008,2,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104008,33460,03/03/2025
,,19921.16128301we,10629199201049985,0,1,1,,2,1,99,99,Y,2,4,2,4,1062919920104009,85,1,3,1,0,0,1,,4,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104009,2,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104009,33460,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,99,Y,50,300,1,8,1062919920104010,85,1,3,0,0,0,0,,2,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104010,,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104010,33415,03/03/2025
,,19921.16128301we,10629199201049985,,1,1,,2,1,99,99,Y,50,300,2,6,1062919920104011,85,1,3,0,0,0,1,,2,6,12,12,6,1,1,1992,1062919920104,01,we,,,1062919920104011,,,,8,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1062919920104011,33415,03/03/2025
